Fecha;FK_TipoDato;Anyo;Valor;Secreto;REF_ID_RELACIONAL;Trimestre;Promedio_Trimestral
2021-06-30 22:00:00;1;2021;2,9;False;IPC251856;3;2,8
2021-07-31 22:00:00;1;2021;3,3;False;IPC251856;4;4,2
2021-08-31 22:00:00;1;2021;4,0;False;IPC251856;4;4,2
2021-09-30 22:00:00;1;2021;5,4;False;IPC251856;4;4,2
2021-10-31 23:00:00;1;2021;5,5;False;IPC251856;1;4,2
2021-11-30 23:00:00;1;2021;6,5;False;IPC251856;1;4,2
2021-12-31 23:00:00;1;2022;6,1;False;IPC251856;1;6,2
2022-01-31 23:00:00;1;2022;7,6;False;IPC251856;2;8,6
2022-02-28 23:00:00;1;2022;9,8;False;IPC251856;2;8,6
2022-03-31 22:00:00;1;2022;8,3;False;IPC251856;2;8,6
2022-04-30 22:00:00;1;2022;8,7;False;IPC251856;3;9,9
2022-05-31 22:00:00;1;2022;10,2;False;IPC251856;3;9,9
2022-06-30 22:00:00;1;2022;10,8;False;IPC251856;3;9,9
2022-07-31 22:00:00;1;2022;10,5;False;IPC251856;4;8,9
2022-08-31 22:00:00;1;2022;8,9;False;IPC251856;4;8,9
2022-09-30 22:00:00;1;2022;7,3;False;IPC251856;4;8,9
2022-10-31 23:00:00;1;2022;6,8;False;IPC251856;1;6,2
2022-11-30 23:00:00;1;2022;5,7;False;IPC251856;1;6,2
2022-12-31 23:00:00;1;2023;5,9;False;IPC251856;1;4,1
2023-01-31 23:00:00;1;2023;6,0;False;IPC251856;2;4,5
2023-02-28 23:00:00;1;2023;3,3;False;IPC251856;2;4,5
2023-03-31 22:00:00;1;2023;4,1;False;IPC251856;2;4,5
2023-04-30 22:00:00;1;2023;3,2;False;IPC251856;3;2,5
2023-05-31 22:00:00;1;2023;1,9;False;IPC251856;3;2,5
2023-06-30 22:00:00;1;2023;2,3;False;IPC251856;3;2,5
2023-07-31 22:00:00;1;2023;2,6;False;IPC251856;4;3,2
2023-08-31 22:00:00;1;2023;3,5;False;IPC251856;4;3,2
2023-09-30 22:00:00;1;2023;3,5;False;IPC251856;4;3,2
2023-10-31 23:00:00;1;2023;3,2;False;IPC251856;1;4,1
2023-11-30 23:00:00;1;2023;3,1;False;IPC251856;1;4,1
2023-12-31 23:00:00;1;2024;3,4;False;IPC251856;1;2,9
2024-01-31 23:00:00;1;2024;2,8;False;IPC251856;2;3,1
2024-02-29 23:00:00;1;2024;3,2;False;IPC251856;2;3,1
2024-03-31 22:00:00;1;2024;3,3;False;IPC251856;2;3,1
2024-04-30 22:00:00;1;2024;3,6;False;IPC251856;3;3,3
2024-05-31 22:00:00;1;2024;3,4;False;IPC251856;3;3,3
2024-06-30 22:00:00;1;2024;2,8;False;IPC251856;3;3,3
2024-07-31 22:00:00;1;2024;2,3;False;IPC251856;4;1,9
2024-08-31 22:00:00;1;2024;1,5;False;IPC251856;4;1,9
2024-09-30 22:00:00;1;2024;1,8;False;IPC251856;4;1,9
2024-10-31 23:00:00;1;2024;2,4;False;IPC251856;1;2,9
2024-11-30 23:00:00;1;2024;2,8;False;IPC251856;1;2,9
2024-12-31 23:00:00;1;2025;2,9;False;IPC251856;1;2,9
2025-01-31 23:00:00;1;2025;3,0;False;IPC251856;2;2,5
2025-02-28 23:00:00;1;2025;2,3;False;IPC251856;2;2,5
2025-03-31 22:00:00;1;2025;2,2;False;IPC251856;2;2,5
2025-04-30 22:00:00;1;2025;2,0;False;IPC251856;3;2,3
2025-05-31 22:00:00;1;2025;2,3;False;IPC251856;3;2,3
2025-06-30 22:00:00;1;2025;2,7;False;IPC251856;3;2,3
2025-07-31 22:00:00;1;2025;2,7;False;IPC251856;4;2,9
2025-08-31 22:00:00;1;2025;3,0;False;IPC251856;4;2,9
2025-09-30 22:00:00;1;2025;3,1;False;IPC251856;4;2,9
2025-10-31 23:00:00;1;2025;3,0;False;IPC251856;1;2,9
2025-11-30 23:00:00;1;2025;2,9;False;IPC251856;1;2,9
